Row Labels,Count of Manufacturer,Sum of Potentially Affected,Car Production(1st half of 2024),
Ford Motor Company,58,4161274,1052543,Ford+Lincoln
"Chrysler (FCA US, LLC)",57,4099959,74574,
"Forest River, Inc.",51,69957,,
"BMW of North America, LLC",31,1828010,187963,BMW+Mini
"General Motors, LLC",28,1191983,1194483,GMC+Chevrolet+Cadillac
"Mercedes-Benz USA, LLC",24,370851,179489,
Hyundai Motor America,21,660789,431344,Hyundai+Genesis
"Daimler Trucks North America, LLC",20,51522,,
"Jayco, Inc.",18,8044,,
"Nissan North America, Inc.",17,175201,489460,Nissan+INFINITI
"Kia America, Inc.",17,1147521,386461,
"Jaguar Land Rover North America, LLC",17,93937,37810,Jaguar+Land Rover
"Volkswagen Group of America, Inc.",16,949418,182900,
Nova Bus (US) Inc.,16,5507,,
"International Motors, LLC",16,111498,,
"Mack Trucks, Inc.",14,62126,,
Toyota Motor Engineering & Manufacturing,14,1110355,1186840,Toyota+Lexus
"Winnebago Industries, Inc.",13,55865,,
Honda (American Honda Motor Co.),13,3520063,679637,Honda+Acura
"Porsche Cars North America, Inc.",12,75252,32323,
"Tesla, Inc.",11,4438910,410831,
Volvo Trucks North America,10,132913,62882,
Blue Bird Body Company,10,66116,,
Motiv Power Systems,8,541,,
"Corp. Micro Bird, Inc.",8,24087,,
"Tiffin Motorhomes, Inc.",8,2464,,
PACCAR Incorporated,8,141654,,
Mazda North American Operations,8,297941,202486,
"Altec Industries, Inc.",8,7598,,
"Autocar, LLC",8,3954,,
"Forest River Bus, LLC",7,8024,,
Winnebago Towable,7,20585,,
"Airstream, Inc.",6,583,,
E-One Incorporated,6,1023,,
"Spartan Fire, LLC",5,257,,
Prevost Car (US) Inc.,5,2799,,
"Rivian Automotive, LLC",5,4883,,
Fisker Group Inc,5,37222,,
Vermeer Manufacturing Company,5,1327,,
Keystone RV Company,5,13512,,
"Suzuki Motor USA, LLC",4,9379,,
"Heartland Recreational Vehicles, LLC",4,10069,,
Thor Motor Coach,4,75,,
"Daimler Vans USA, LLC",4,2343,,
Aston Martin The Americas,4,4727,,
"LIVEWIRE EV, LLC",4,1505,,
"Terex South Dakota, Inc.",4,670,,
"Alliance RV, LLC",4,1150,,
Brinkley RV,4,4533,,
